"","X","Date","Minimum.temperature...C.","Maximum.temperature...C.","Rainfall..mm.","Evaporation..mm.","Sunshine..hours.","Direction.of.maximum.wind.gust.","Speed.of.maximum.wind.gust..km.h.","Time.of.maximum.wind.gust","X9am.Temperature...C.","X9am.relative.humidity....","X9am.cloud.amount..oktas.","X9am.wind.direction","X9am.wind.speed..km.h.","X9am.MSL.pressure..hPa.","X3pm.Temperature...C.","X3pm.relative.humidity....","X3pm.cloud.amount..oktas.","X3pm.wind.direction","X3pm.wind.speed..km.h.","X3pm.MSL.pressure..hPa."
"1",NA,"2015-04-1",15.6,27,51,NA,NA,NA,NA,NA,18.2,99,7," ","Calm",NA,NA,NA,NA,"",NA,NA
"2",NA,"2015-04-2",16.3,29,0,2.6,NA,NA,NA,NA,19,95,6," ","Calm",NA,NA,NA,NA,"",NA,NA
"3",NA,"2015-04-3",16.3,NA,2.4,4.4,NA,NA,NA,NA,16.8,84,8,"SE","2",NA,NA,NA,NA,"",NA,NA
"4",NA,"2015-04-4",15.8,20.2,20.1,1.1,NA,NA,NA,NA,17.2,95,8,"NE","6",NA,NA,NA,NA,"",NA,NA
"5",NA,"2015-04-5",15.2,26.5,11.4,1.6,NA,NA,NA,NA,19.8,71,1,"SW","9",NA,NA,NA,NA,"",NA,NA
"6",NA,"2015-04-6",13.1,25.9,0,3,NA,NA,NA,NA,17.3,96,3,"SW","6",NA,NA,NA,NA,"",NA,NA
"7",NA,"2015-04-7",12.3,23.1,3.2,3,NA,NA,NA,NA,17.1,89,5,"SW","6",NA,NA,NA,NA,"",NA,NA
"8",NA,"2015-04-8",13.3,22.2,0.5,3.6,NA,NA,NA,NA,18.7,54,5,"S","19",NA,NA,NA,NA,"",NA,NA
"9",NA,"2015-04-9",15,22.4,0,4,NA,NA,NA,NA,18.1,51,1,"SSW","15",NA,NA,NA,NA,"",NA,NA
"10",NA,"2015-04-10",13.3,22.5,0,3.3,NA,NA,NA,NA,17.5,68,8,"SSW","7",NA,NA,NA,NA,"",NA,NA
"11",NA,"2015-04-11",14.5,24,6.8,NA,NA,NA,NA,NA,17,97,8," ","Calm",NA,NA,NA,NA,"",NA,NA
"12",NA,"2015-04-12",12,23.4,0,1.2,NA,NA,NA,NA,21,65,5,"WSW","4",NA,NA,NA,NA,"",NA,NA
"13",NA,"2015-04-13",13.2,22.3,0,2,NA,NA,NA,NA,18.2,68,1,"SSW","9",NA,NA,NA,NA,"",NA,NA
"14",NA,"2015-04-14",11.1,24.4,0,2.3,NA,NA,NA,NA,17.6,74,2,"SW","4",NA,NA,NA,NA,"",NA,NA
"15",NA,"2015-04-15",11.5,28.4,0,2.6,NA,NA,NA,NA,17.8,79,2,"SW","4",NA,NA,NA,NA,"",NA,NA
"16",NA,"2015-04-16",15.8,30.4,3.5,3.1,NA,NA,NA,NA,21,79,6,"WSW","2",NA,NA,NA,NA,"",NA,NA
"17",NA,"2015-04-17",18.9,23.2,5.2,3,NA,NA,NA,NA,19.5,97,8,"NE","2",NA,NA,NA,NA,"",NA,NA
"18",NA,"2015-04-18",18.6,27.7,1.2,0.6,NA,NA,NA,NA,23,74,7,"N","20",NA,NA,NA,NA,"",NA,NA
"19",NA,"2015-04-19",15.2,24.1,7.5,4.3,NA,NA,NA,NA,18.4,68,1,"SW","26",NA,NA,NA,NA,"",NA,NA
"20",NA,"2015-04-20",11.7,16.2,5.2,3.7,NA,NA,NA,NA,13.2,97,8,"SSW","7",NA,NA,NA,NA,"",NA,NA
"21",NA,"2015-04-21",13,16.6,100.6,0.2,NA,NA,NA,NA,14.2,89,8,"SW","37",NA,NA,NA,NA,"",NA,NA
"22",NA,"2015-04-22",12.7,18,92.6,NA,NA,NA,NA,NA,14.8,100,8,"S","19",NA,NA,NA,NA,"",NA,NA
"23",NA,"2015-04-23",12.5,22.9,44.4,3.9,NA,NA,NA,NA,17.8,98,1,"S","2",NA,NA,NA,NA,"",NA,NA
"24",NA,"2015-04-24",12.9,25.6,2.8,1.3,NA,NA,NA,NA,15.4,99,7," ","Calm",NA,NA,NA,NA,"",NA,NA
"25",NA,"2015-04-25",11,25,1,2.8,NA,NA,NA,NA,16.1,90,4," ","Calm",NA,NA,NA,NA,"",NA,NA
"26",NA,"2015-04-26",9.2,19.2,63.3,NA,NA,NA,NA,NA,16.4,75,6,"NW","50",NA,NA,NA,NA,"",NA,NA
"27",NA,"2015-04-27",10.4,20.3,0,1.2,NA,NA,NA,NA,15.7,69,0,"SW","22",NA,NA,NA,NA,"",NA,NA
"28",NA,"2015-04-28",8.9,NA,0,2.5,NA,NA,NA,NA,16.1,59,0,"S","11",NA,NA,NA,NA,"",NA,NA
"29",NA,"2015-04-29",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"",NA,NA
"30",NA,"2015-04-30",NA,18.8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,15.1,93,8,"W",2,NA
"31",NA,"2015-05-1",12.8,21.8,11.8,1,NA,NA,NA,NA,15.7,97,8,"S","7",NA,NA,NA,NA,NA,NA,NA
"32",NA,"2015-05-2",14.9,22,8,0.4,NA,NA,NA,NA,17.2,96,7,"W","4",NA,NA,NA,NA,NA,NA,NA
"33",NA,"2015-05-3",17,23.5,28.2,3.8,NA,NA,NA,NA,18.8,92,8,"SW","4",NA,NA,NA,NA,NA,NA,NA
"34",NA,"2015-05-4",16.4,22.2,0,0.9,NA,NA,NA,NA,18.6,77,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"35",NA,"2015-05-5",14.2,26.8,0,1,NA,NA,NA,NA,18,84,3," ","Calm",NA,NA,NA,NA,NA,NA,NA
"36",NA,"2015-05-6",9.6,19.9,0,3.7,NA,NA,NA,NA,14.5,45,0,"SW","15",NA,NA,NA,NA,NA,NA,NA
"37",NA,"2015-05-7",7,20,0,1.9,NA,NA,NA,NA,12.4,71,1,"SW","7",NA,NA,NA,NA,NA,NA,NA
"38",NA,"2015-05-8",6.2,19.7,0,2.2,NA,NA,NA,NA,12.9,62,0,"NW","4",NA,NA,NA,NA,NA,NA,NA
"39",NA,"2015-05-9",6.9,20.6,0,1.1,NA,NA,NA,NA,12.6,69,1,"W","2",NA,NA,NA,NA,NA,NA,NA
"40",NA,"2015-05-10",8.2,20.6,0,1.9,NA,NA,NA,NA,16.3,52,1,"NE","2",NA,NA,NA,NA,NA,NA,NA
"41",NA,"2015-05-11",13.2,21.3,0,3.1,NA,NA,NA,NA,15.6,65,1,"W","11",NA,NA,NA,NA,NA,NA,NA
"42",NA,"2015-05-12",9.6,21.3,0,2,NA,NA,NA,NA,15.7,62,0,"N","4",NA,NA,NA,NA,NA,NA,NA
"43",NA,"2015-05-13",11.2,NA,0,2.3,NA,NA,NA,NA,13.3,57,0,"SW","15",NA,NA,NA,NA,NA,NA,NA
"44",NA,"2015-05-14",NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
